frame,Mis-Fire Monitor Status,Mis-Fire Counter-200 REV,Mis-Fire Counter CAT 200 Rev,Cylinder 1 FTP Mis-Fire Counter,Cylinder 2 FTP Mis-Fire Counter,Cylinder 3 FTP Mis-Fire Counter,Cylinder 4 FTP Mis-Fire Counter,Cylinder 5 FTP Mis-Fire Counter,Cylinder 6 FTP Mis-Fire Counter,Cylinder 7 FTP Mis-Fire Counter,Cylinder 8 FTP Mis-Fire Counter
258,,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,,624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,,594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,,559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,,541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,,533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,,505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,,792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,,739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,,643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,,599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,,574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,,487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
